workerid,proliferate.condition,internal_node_id,response,response_0,response_1,response_2,rt,slider_0,slider_1,slider_2,slider_start,stimulus,success,time_elapsed,trial_index,trial_type,error,time_value
100,30_while,0.0-22.0,,0,100,0,8678,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_30.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,137912,22,html-multi-slider-response,,30
100,30_while,0.0-23.0,,0,100,0,14723,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_60.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,152888,23,html-multi-slider-response,,60
100,30_while,0.0-24.0,,100,0,0,6414,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_10.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,159563,24,html-multi-slider-response,,10
100,30_while,0.0-25.0,,0,0,100,9016,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_45.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,168831,25,html-multi-slider-response,,45
100,30_while,0.0-26.0,,0,0,100,10513,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_90.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,179601,26,html-multi-slider-response,,90
100,30_while,0.0-27.0,,0,0,100,5709,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_45.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,185564,27,html-multi-slider-response,,45
100,30_while,0.0-28.0,,0,0,100,14041,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_5.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,199864,28,html-multi-slider-response,,5
100,30_while,0.0-29.0,,0,0,100,4785,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_120.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,204911,29,html-multi-slider-response,,120
100,30_while,0.0-30.0,,100,0,0,4341,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_15.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,209516,30,html-multi-slider-response,,15
100,30_while,0.0-31.0,,0,0,100,6049,I'll be here for a bit,I'll be here for a while,<em>something else</em>,0,"<p><img src=""../proexpec/q/q_b_120.jpg"" class=""scaled-img"" /></p><p style=""font-size: 22px"">How likely do you think it is that the man will respond with each of the following sentences? <br>Make sure that your responses sum up to 100.</p>",,215821,31,html-multi-slider-response,,120
